country,date,confirmed,deaths,recovered,active,new_cases,new_deaths,population,cases_per_million,deaths_per_million,mortality_rate,recovery_rate
USA,2020-01-22,55157,1374,48592,5191,2533,63,331000000,166.63746223564954,4.151057401812689,2.491070942944685,88.09761227042804
USA,2020-01-23,56268,1208,49005,6055,1651,35,331000000,169.9939577039275,3.6495468277945617,2.1468685576171183,87.09213051823417
USA,2020-01-24,57402,1508,47888,8006,1709,44,331000000,173.4199395770393,4.555891238670695,2.6270861642451484,83.42566461098916
USA,2020-01-25,58558,1959,48114,8485,2470,82,331000000,176.91238670694864,5.918429003021148,3.3454011407493427,82.16469141705659
USA,2020-01-26,59737,1519,53758,4460,2828,71,331000000,180.47432024169186,4.589123867069486,2.542812662169175,89.99112777675478
USA,2020-01-27,60940,644,55048,5248,1540,16,331000000,184.10876132930514,1.9456193353474323,1.0567771578601903,90.33147358057106
USA,2020-01-28,62167,694,59435,2038,2058,22,331000000,187.81570996978854,2.096676737160121,1.1163479016198306,95.60538549391157
USA,2020-01-29,63418,777,57893,4748,1842,22,331000000,191.595166163142,2.347432024169184,1.2252042007001167,91.2879624081491
USA,2020-01-30,64695,2237,56587,5871,2042,70,331000000,195.45317220543805,6.758308157099697,3.45776335110905,87.46734678104954
USA,2020-01-31,65998,1782,58055,6161,2677,72,331000000,199.38972809667675,5.383685800604229,2.7000818206612323,87.96478681172157
USA,2020-02-01,67326,2259,59705,5362,1561,52,331000000,203.40181268882176,6.824773413897281,3.3553159254968365,88.6804503460773
USA,2020-02-02,68681,714,59655,8312,2057,21,331000000,207.4954682779456,2.1570996978851964,1.0395888236921418,86.85808302150522
USA,2020-02-03,70064,1897,62931,5236,1869,50,331000000,211.67371601208458,5.731117824773414,2.7075245489837863,89.81930806120118
USA,2020-02-04,71474,1024,63188,7262,2660,38,331000000,215.93353474320242,3.093655589123867,1.4326888099168928,88.40697316506701
USA,2020-02-05,72912,2105,63798,7009,1797,51,331000000,220.27794561933533,6.359516616314199,2.8870419135396097,87.5
USA,2020-02-06,74379,1799,61965,10615,1835,44,331000000,224.70996978851963,5.435045317220544,2.418693448419581,83.30980518694793
USA,2020-02-07,75876,1611,66646,7619,2686,57,331000000,229.23262839879152,4.867069486404834,2.1232010121777636,87.83541567821182
USA,2020-02-08,77402,2181,66885,8336,2804,79,331000000,233.84290030211483,6.589123867069487,2.8177566471150617,86.41249580114209
USA,2020-02-09,78960,1817,74469,2674,2331,53,331000000,238.5498489425982,5.4894259818731115,2.301165146909828,94.31231003039514
USA,2020-02-10,80548,2310,71569,6669,2704,77,331000000,243.3474320241692,6.978851963746224,2.8678551919352433,88.85260962407509
USA,2020-02-11,82168,2804,73240,6124,2362,80,331000000,248.2416918429003,8.47129909365559,3.4125206893194435,89.13445623600428
USA,2020-02-12,83821,1459,71641,10721,1947,33,331000000,253.23564954682783,4.40785498489426,1.7406139272974555,85.46903520597465
USA,2020-02-13,85506,1760,75152,8594,1598,32,331000000,258.3262839879154,5.317220543806647,2.058335087596192,87.8909082403574
USA,2020-02-14,87226,902,75435,10889,1978,20,331000000,263.52265861027195,2.7250755287009065,1.0340953385458465,86.48224153348772
USA,2020-02-15,88980,2647,79660,6673,2549,75,331000000,268.821752265861,7.996978851963746,2.9748258035513597,89.52573612047651
USA,2020-02-16,90769,2385,84830,3554,2846,74,331000000,274.226586102719,7.205438066465257,2.6275490530908128,93.45701726360322
USA,2020-02-17,92593,1966,78070,12557,2747,58,331000000,279.7371601208459,5.9395770392749245,2.1232706576091065,84.31522901299235
USA,2020-02-18,94455,2523,85488,6444,2098,56,331000000,285.36253776435046,7.622356495468278,2.6711132285215182,90.50659043989201
USA,2020-02-19,96353,1625,86898,7830,2404,40,331000000,291.0966767371601,4.909365558912387,1.6865069068944403,90.18712442788497
USA,2020-02-20,98289,3370,90350,4569,2123,72,331000000,296.94561933534743,10.181268882175226,3.4286644487175577,91.92279909247219
USA,2020-02-21,100265,1594,86902,11769,2593,41,331000000,302.9154078549849,4.81570996978852,1.5897870642796588,86.67231835635566
USA,2020-02-22,102279,2839,85847,13593,1660,46,331000000,309.0,8.577039274924472,2.77574086567135,83.9341409282453
USA,2020-02-23,104334,1569,98396,4369,2214,33,331000000,315.20845921450154,4.740181268882175,1.5038242567140145,94.30866256445645
USA,2020-02-24,106430,2563,96955,6912,2268,54,331000000,321.5407854984894,7.743202416918429,2.40815559522691,91.09743493375927
USA,2020-02-25,108568,2726,96822,9020,1807,45,331000000,328.0,8.235649546827794,2.5108687642767666,89.18097413602536
USA,2020-02-26,110748,3717,98668,8363,1899,63,331000000,334.58610271903325,11.229607250755286,3.356268284754578,89.09235381225847
USA,2020-02-27,112972,3616,101145,8211,2586,82,331000000,341.3051359516616,10.924471299093655,3.2007931168785184,89.53103423857239
USA,2020-02-28,115240,1456,102949,10835,2036,25,331000000,348.1570996978852,4.398791540785499,1.2634501909059355,89.3344324887192
USA,2020-02-29,117554,2399,110087,5068,1932,39,331000000,355.1480362537764,7.24773413897281,2.0407642445174132,93.6480255882403
USA,2020-03-01,119914,1565,105656,12693,2084,27,331000000,362.27794561933536,4.72809667673716,1.3051019897593275,88.10981203195624
USA,2020-03-02,122321,2055,111573,8693,2905,48,331000000,369.5498489425982,6.208459214501511,1.6800058861520097,91.21328308303562
USA,2020-03-03,124776,2347,108542,13887,1638,30,331000000,376.96676737160124,7.090634441087613,1.8809706994934925,86.98948515740207
USA,2020-03-04,127279,2972,112893,11414,1873,43,331000000,384.5287009063444,8.978851963746225,2.3350277736311567,88.69727134876923
USA,2020-03-05,129833,2172,112251,15410,2621,43,331000000,392.24471299093653,6.561933534743202,1.67291828733835,86.45798833886607
USA,2020-03-06,132438,2048,119564,10826,1886,29,331000000,400.11480362537765,6.187311178247734,1.5463839683474532,90.27922499584712
USA,2020-03-07,135094,1570,117563,15961,2223,25,331000000,408.1389728096677,4.74320241691843,1.1621537596044236,87.02310983463366
USA,2020-03-08,137803,3776,125378,8649,2005,54,331000000,416.3232628398792,11.40785498489426,2.7401435382393706,90.98350543892369
USA,2020-03-09,140566,4911,119649,16006,1869,65,331000000,424.67069486404836,14.836858006042297,3.4937324815389212,85.11944566964983
USA,2020-03-10,143385,2907,119963,20515,3054,61,331000000,433.18731117824774,8.782477341389727,2.0274087247620045,83.66495798026293
USA,2020-03-11,146259,3782,132743,9734,2159,55,331000000,441.8700906344411,11.425981873111782,2.585823778365776,90.75885928387312
USA,2020-03-12,149190,3162,133812,12216,2430,51,331000000,450.72507552870087,9.55287009063444,2.119445003016288,89.69233862859441
USA,2020-03-13,152180,1829,134467,15884,2523,30,331000000,459.7583081570997,5.525679758308157,1.2018662110658431,88.36049415166251
USA,2020-03-14,155229,4669,136473,14087,2025,60,331000000,468.96978851963746,14.105740181268882,3.0078142615104135,87.91720619214193
USA,2020-03-15,158339,3162,147103,8074,3098,61,331000000,478.3655589123867,9.55287009063444,1.9969811606742498,92.90383291545355
USA,2020-03-16,161511,2223,145108,14180,2837,39,331000000,487.9486404833837,6.716012084592146,1.3763768412058621,89.84403539077833
USA,2020-03-17,164745,5182,141869,17694,2695,84,331000000,497.7190332326284,15.655589123867069,3.1454672372454398,86.11429785425962
USA,2020-03-18,168044,4668,154739,8637,2011,55,331000000,507.68580060422966,14.102719033232628,2.777843898026707,92.08243079193544
USA,2020-03-19,171408,2126,162995,6287,2202,27,331000000,517.8489425981874,6.422960725075529,1.2403155045272098,95.09182768598899
USA,2020-03-20,174839,4011,162376,8452,2279,52,331000000,528.214501510574,12.117824773413897,2.2941105817351963,92.87172770377319
USA,2020-03-21,178338,5061,151632,21645,2690,76,331000000,538.785498489426,15.290030211480362,2.837869663223766,85.02506476466036
USA,2020-03-22,181906,4983,155236,21687,2500,68,331000000,549.5649546827794,15.054380664652568,2.7393269051048343,85.33858146515233
USA,2020-03-23,185545,6411,163369,15765,1968,68,331000000,560.558912386707,19.36858006042296,3.4552264949203693,88.04818238163249
USA,2020-03-24,189256,6606,176412,6238,2098,73,331000000,571.7703927492447,19.957703927492446,3.4905102083949786,93.21342520184301
USA,2020-03-25,193040,6190,163053,23797,2542,81,331000000,583.2024169184291,18.700906344410875,3.2065893079154577,84.46591380024864
USA,2020-03-26,196899,5416,182215,9268,2135,58,331000000,594.8610271903324,16.362537764350453,2.750648809795885,92.54236943813834
USA,2020-03-27,200835,4039,188241,8555,2995,60,331000000,606.7522658610272,12.202416918429003,2.011103642293425,93.72918067069983
USA,2020-03-28,204848,6840,186967,11041,2994,99,331000000,618.8761329305136,20.66465256797583,3.339061157541201,91.27108880731079
